Model,Accuracy Mean,Accuracy Std,AUC Macro Mean,AUC Macro Std,AUC Weighted Mean,AUC Weighted Std
Coarse (Stage 1),0.9779033955791198,0.00930012305140296,0.9953711729454042,0.004906933796682252,0.9953711729454042,0.004906933796682252
Hierarchical (Full),0.19523605317531478,0.006047903789743692,0.6827748456573753,0.005644908090453026,0.6533210855745052,0.005248900238434257
