Model,Architecture,Params (M),Accuracy,Precision,Recall,F1-Score
DenseNet-121,densenet121_3d,5.584523,0.9229508196721311,0.9263968517587101,0.9229508196721311,0.9228845087320906
ResNet-18,resnet18_3d,33.165643,0.9147540983606557,0.916906972931699,0.9147540983606557,0.9151484872685989
ResNet-34,resnet34_3d,63.475275,0.9,0.9042005540377847,0.9,0.899107050715342
ResNet-50,resnet50_3d,46.177611,0.8885245901639345,0.8922520656501303,0.8885245901639345,0.8883873778420114
EfficientNet-B0,efficientnet3d_b0,1.219595,0.8672131147540983,0.8797858808246232,0.8672131147540983,0.8693774490327212
